,qn,err_type,err_value,prob,err
101,Q10,pre,0.2,1,0
102,Q10,pre,0.0,1,0
103,Q10,pre,0.2,1,0
104,Q10,pre,0.0,1,0
105,Q10,pre,0.3,1,0
106,Q10,pre,0.0,1,0
107,Q10,pre,0.4,1,0
108,Q10,pre,0.15,1,0
109,Q10,pre,0.1,1,0
110,Q10,pre,0.1,1,0
111,Q10,pre,0.0,1,0
112,Q10,pre,0.1,1,0
113,Q10,pre,0.0,1,0
114,Q10,pre,0.79,1,0
115,Q10,pre,0.1,1,0
116,Q10,pre,0.0,1,0
117,Q10,pre,0.1,1,0
118,Q10,pre,0.25,1,0
119,Q12,pre,0.35,1,0
120,Q12,pre,0.8,1,0
121,Q12,pre,0.5,1,0
122,Q12,pre,0.3,1,0
123,Q12,pre,0.95,1,0
124,Q12,pre,0.1,1,0
125,Q12,pre,0.7,1,0
126,Q12,pre,0.6,1,0
127,Q12,pre,0.44,1,0
128,Q12,pre,0.2,1,0
129,Q12,pre,0.3,1,0
130,Q12,pre,0.45,1,0
131,Q12,pre,0.25,1,0
132,Q12,pre,0.02,1,0
133,Q12,pre,0.45,1,0
134,Q12,pre,0.2,1,0
135,Q12,pre,0.1,1,0
136,Q12,pre,0.38,1,0
137,Q12,pre,0.7,1,0
138,Q12,pre,0.6,1,0
139,Q12,pre,0.1,1,0
140,Q12,pre,0.25,1,0
141,Q12,pre,0.4,1,0
142,Q12,pre,0.45,1,0
143,Q12,pre,0.69,1,0
144,Q12,pre,0.45,1,0
145,Q12,pre,0.56,1,0
146,Q12,pre,0.0,1,0
147,Q12,pre,0.55,1,0
148,Q16,pre,0.4,1,0
149,Q16,pre,0.0,1,0
150,Q16,pre,0.0,1,0
151,Q16,pre,0.3,1,0
152,Q16,pre,0.11,1,0
153,Q16,pre,0.1,1,0
154,Q16,pre,0.1,1,0
155,Q16,pre,0.1,1,0
156,Q16,pre,0.0,1,0
157,Q16,pre,0.3,1,0
158,Q16,pre,0.3,1,0
159,Q16,pre,0.0,1,0
160,Q16,pre,0.0,1,0
161,Q16,pre,0.89,1,0
162,Q16,pre,0.0,1,0
163,Q16,pre,0.01,1,0
164,Q16,pre,0.0,1,0
165,Q16,pre,0.1,1,0
166,Q16,pre,0.0,1,0
167,Q16,pre,0.38,1,0
168,Q16,pre,0.5,1,0
169,Q16,pre,0.35,1,0
170,Q16,pre,0.45,1,0
171,Q16,pre,0.18,1,0
172,Q16,pre,0.0,1,0
173,Q16,pre,0.13,1,0
174,Q16,pre,0.0,1,0
175,Q16,pre,0.2,1,0
176,Q16,pre,0.0,1,0
177,Q16,pre,0.0,1,0
178,Q18,pre,0.0,1,0
179,Q18,pre,0.0,1,0
180,Q18,pre,0.4,1,0
181,Q18,pre,0.2,1,0
182,Q18,pre,0.05,1,0
183,Q18,pre,0.45,1,0
184,Q18,pre,0.0,1,0
185,Q18,pre,0.0,1,0
186,Q18,pre,0.0,1,0
187,Q18,pre,0.4,1,0
188,Q18,pre,0.15,1,0
189,Q18,pre,0.15,1,0
190,Q18,pre,0.3,1,0
191,Q18,pre,0.2,1,0
192,Q18,pre,0.05,1,0
193,Q18,pre,0.2,1,0
194,Q18,pre,0.0,1,0
195,Q18,pre,0.0,1,0
196,Q18,pre,0.15,1,0
197,Q18,pre,0.0,1,0
198,Q18,pre,0.0,1,0
199,Q18,pre,0.0,1,0
200,Q18,pre,0.05,1,0
201,Q18,pre,0.4,1,0
303,Q10,U,0.30405471,1,1
304,Q10,U,0.06747607,1,1
305,Q10,U,0.18248639,1,1
306,Q10,U,0.22158759,1,1
307,Q10,U,0.32049051,1,1
308,Q10,U,0.63320066,1,1
309,Q10,U,0.27343286,1,1
310,Q10,U,0.21947416,1,1
311,Q10,U,0.23998609,1,1
312,Q10,U,0.71134716,1,1
313,Q10,U,0.18643328,1,1
314,Q10,U,0.22955754,1,1
315,Q10,U,0.58145603,1,1
316,Q10,U,0.44531817,1,1
317,Q10,U,0.42284556,1,1
318,Q10,U,0.63973277,1,1
319,Q10,U,0.14912061,1,1
320,Q10,U,0.27881455,1,1
321,Q12,U,0.01134624,1,1
322,Q12,U,0.22126758,1,1
323,Q12,U,0.45796707,1,1
324,Q12,U,0.15004066,1,1
325,Q12,U,0.11549783,1,1
326,Q12,U,0.37760973,1,1
327,Q12,U,0.29708867,1,1
328,Q12,U,0.26010914,1,1
329,Q12,U,0.14527846,1,1
330,Q12,U,0.44263819,1,1
331,Q12,U,0.44768171,1,1
332,Q12,U,0.06405927,1,1
333,Q12,U,0.03953151,1,1
334,Q12,U,0.40189894,1,1
335,Q12,U,0.06748924,1,1
336,Q12,U,0.09514437,1,1
337,Q12,U,0.28819947,1,1
338,Q12,U,0.1975925,1,1
339,Q12,U,0.25052992,1,1
340,Q12,U,0.46269889,1,1
341,Q12,U,0.3841492,1,1
342,Q12,U,0.09754294,1,1
343,Q12,U,0.26951319,1,1
344,Q12,U,0.56249056,1,1
345,Q12,U,0.17245585,1,1
346,Q12,U,0.23535386,1,1
347,Q12,U,0.32053884,1,1
348,Q12,U,0.58165992,1,1
349,Q12,U,0.49190515,1,1
350,Q16,U,0.27678232,1,1
351,Q16,U,0.36527975,1,1
352,Q16,U,0.37716953,1,1
353,Q16,U,0.21947501,1,1
354,Q16,U,0.27245918,1,1
355,Q16,U,0.24560991,1,1
356,Q16,U,0.45559961,1,1
357,Q16,U,0.02009984,1,1
358,Q16,U,0.12515273,1,1
359,Q16,U,0.15873954,1,1
360,Q16,U,0.01014448,1,1
361,Q16,U,0.32680667,1,1
362,Q16,U,0.06999581,1,1
363,Q16,U,0.665284,1,1
364,Q16,U,0.1282829,1,1
365,Q16,U,0.31237331,1,1
366,Q16,U,0.14239951,1,1
367,Q16,U,0.5739513,1,1
368,Q16,U,0.18816385,1,1
369,Q16,U,0.01127612,1,1
370,Q16,U,0.22213268,1,1
371,Q16,U,0.20115413,1,1
372,Q16,U,0.11863962,1,1
373,Q16,U,0.55531919,1,1
374,Q16,U,0.10255213,1,1
375,Q16,U,0.27895788,1,1
376,Q16,U,0.28418291,1,1
377,Q16,U,0.05245451,1,1
378,Q16,U,0.08311483,1,1
379,Q16,U,0.18322121,1,1
380,Q18,U,0.62967336,1,1
381,Q18,U,0.53410118,1,1
382,Q18,U,0.25357068,1,1
383,Q18,U,0.64377889,1,1
384,Q18,U,0.65076202,1,1
385,Q18,U,0.12244012,1,1
386,Q18,U,0.55162205,1,1
387,Q18,U,0.62880112,1,1
388,Q18,U,0.21880755,1,1
389,Q18,U,0.10227961,1,1
390,Q18,U,0.32124839,1,1
391,Q18,U,0.52867818,1,1
392,Q18,U,0.60728885,1,1
393,Q18,U,0.62055973,1,1
394,Q18,U,0.3936098,1,1
395,Q18,U,0.03944669,1,1
396,Q18,U,0.04844709,1,1
397,Q18,U,0.57063726,1,1
398,Q18,U,0.47378033,1,1
399,Q18,U,0.12203599999999999,1,1
400,Q18,U,0.38571756,1,1
401,Q18,U,0.24030915,1,1
402,Q18,U,0.33392649,1,1
403,Q18,U,0.33830091,1,1
505,Q10,I,1.38777878e-16,1,2
506,Q10,I,4.99600361e-16,1,2
507,Q10,I,0.0,1,2
508,Q10,I,3.33066907e-16,1,2
509,Q10,I,2.7755575600000004e-17,1,2
510,Q10,I,0.25903129,1,2
511,Q10,I,0.12229941,1,2
512,Q10,I,2.19457785e-12,1,2
513,Q10,I,0.0,1,2
514,Q10,I,0.02493989,1,2
515,Q10,I,5.55111512e-16,1,2
516,Q10,I,0.05297855,1,2
517,Q10,I,0.02348315,1,2
518,Q10,I,0.09775183,1,2
519,Q10,I,1.66533454e-16,1,2
520,Q10,I,0.04858336,1,2
521,Q10,I,4.440892099999999e-16,1,2
522,Q10,I,1.66533454e-16,1,2
523,Q12,I,1.1102230200000001e-16,1,2
524,Q12,I,1.1102230200000001e-16,1,2
525,Q12,I,1.1102230200000001e-16,1,2
526,Q12,I,1.1102230200000001e-16,1,2
527,Q12,I,0.02325263,1,2
528,Q12,I,0.23852103,1,2
529,Q12,I,1.1102230200000001e-16,1,2
530,Q12,I,1.4432899300000002e-15,1,2
531,Q12,I,0.0,1,2
532,Q12,I,2.7511326600000003e-13,1,2
533,Q12,I,0.0,1,2
534,Q12,I,0.1659021,1,2
535,Q12,I,0.0,1,2
536,Q12,I,0.01803169,1,2
537,Q12,I,4.59911658e-06,1,2
538,Q12,I,2.22044605e-16,1,2
539,Q12,I,0.3538604,1,2
540,Q12,I,1.1102230200000001e-16,1,2
541,Q12,I,0.0,1,2
542,Q12,I,1.1102230200000001e-16,1,2
543,Q12,I,0.11071838,1,2
544,Q12,I,4.21884749e-15,1,2
545,Q12,I,2.22044605e-16,1,2
546,Q12,I,2.22044605e-16,1,2
547,Q12,I,0.0,1,2
548,Q12,I,0.05250005,1,2
549,Q12,I,0.0,1,2
550,Q12,I,0.16466176,1,2
551,Q12,I,0.01306542,1,2
552,Q16,I,0.0,1,2
553,Q16,I,0.22335465,1,2
554,Q16,I,1.33226763e-15,1,2
555,Q16,I,1.1102230200000001e-16,1,2
556,Q16,I,0.10547731,1,2
557,Q16,I,1.1102230200000001e-16,1,2
558,Q16,I,4.440892099999999e-16,1,2
559,Q16,I,1.1102230200000001e-16,1,2
560,Q16,I,3.33066907e-16,1,2
561,Q16,I,1.1102230200000001e-16,1,2
562,Q16,I,0.00689568,1,2
563,Q16,I,1.19904087e-14,1,2
564,Q16,I,2.22044605e-16,1,2
565,Q16,I,0.4236995,1,2
566,Q16,I,0.0788023,1,2
567,Q16,I,0.12656044,1,2
568,Q16,I,5.551115120000001e-17,1,2
569,Q16,I,0.27836162,1,2
570,Q16,I,1.1102230200000001e-16,1,2
571,Q16,I,0.00664537,1,2
572,Q16,I,0.0,1,2
573,Q16,I,2.22044605e-16,1,2
574,Q16,I,1.7763568399999997e-15,1,2
575,Q16,I,0.27980608,1,2
576,Q16,I,4.440892099999999e-16,1,2
577,Q16,I,0.00729345,1,2
578,Q16,I,0.0,1,2
579,Q16,I,2.5535129600000002e-15,1,2
580,Q16,I,1.1102230200000001e-16,1,2
581,Q16,I,2.22044605e-16,1,2
