,qn,err_type,err_value,prob,err
101,Q10,pre,0.2,1,0
102,Q10,pre,0.0,1,0
103,Q10,pre,0.2,1,0
104,Q10,pre,0.0,1,0
105,Q10,pre,0.3,1,0
106,Q10,pre,0.0,1,0
107,Q10,pre,0.4,1,0
108,Q10,pre,0.15,1,0
109,Q10,pre,0.1,1,0
110,Q10,pre,0.1,1,0
111,Q10,pre,0.0,1,0
112,Q10,pre,0.1,1,0
113,Q10,pre,0.0,1,0
114,Q10,pre,0.79,1,0
115,Q10,pre,0.1,1,0
116,Q10,pre,0.0,1,0
117,Q10,pre,0.1,1,0
118,Q10,pre,0.25,1,0
303,Q10,U,0.30405471,1,1
304,Q10,U,0.06747607,1,1
305,Q10,U,0.18248639,1,1
306,Q10,U,0.22158759,1,1
307,Q10,U,0.32049051,1,1
308,Q10,U,0.63320066,1,1
309,Q10,U,0.27343286,1,1
310,Q10,U,0.21947416,1,1
311,Q10,U,0.23998609,1,1
312,Q10,U,0.71134716,1,1
313,Q10,U,0.18643328,1,1
314,Q10,U,0.22955754,1,1
315,Q10,U,0.58145603,1,1
316,Q10,U,0.44531817,1,1
317,Q10,U,0.42284556,1,1
318,Q10,U,0.63973277,1,1
319,Q10,U,0.14912061,1,1
320,Q10,U,0.27881455,1,1
505,Q10,I,1.38777878e-16,1,2
506,Q10,I,4.99600361e-16,1,2
507,Q10,I,0.0,1,2
508,Q10,I,3.33066907e-16,1,2
509,Q10,I,2.7755575600000004e-17,1,2
510,Q10,I,0.25903129,1,2
511,Q10,I,0.12229941,1,2
512,Q10,I,2.19457785e-12,1,2
513,Q10,I,0.0,1,2
514,Q10,I,0.02493989,1,2
515,Q10,I,5.55111512e-16,1,2
516,Q10,I,0.05297855,1,2
517,Q10,I,0.02348315,1,2
518,Q10,I,0.09775183,1,2
519,Q10,I,1.66533454e-16,1,2
520,Q10,I,0.04858336,1,2
521,Q10,I,4.440892099999999e-16,1,2
522,Q10,I,1.66533454e-16,1,2
707,Q10,mean80,0.15,1,3
708,Q10,mean80,0.15,1,3
709,Q10,mean80,0.075,1,3
710,Q10,mean80,0.075,1,3
711,Q10,mean80,0.1,1,3
712,Q10,mean80,0.1,1,3
713,Q10,mean80,0.375,1,3
714,Q10,mean80,0.375,1,3
715,Q10,mean80,0.15,1,3
716,Q10,mean80,0.15,1,3
717,Q10,mean80,0.15,1,3
718,Q10,mean80,0.15,1,3
719,Q10,mean80,0.005,1,3
720,Q10,mean80,0.005,1,3
721,Q10,mean80,0.375,1,3
722,Q10,mean80,0.375,1,3
723,Q10,mean80,0.0,1,3
724,Q10,mean80,0.0,1,3
909,Q10,uniform,0.3,1,4
910,Q10,uniform,0.0,1,4
911,Q10,uniform,0.1,1,4
912,Q10,uniform,0.25,1,4
913,Q10,uniform,0.3,1,4
914,Q10,uniform,0.5,1,4
915,Q10,uniform,0.5,1,4
916,Q10,uniform,0.25,1,4
917,Q10,uniform,0.1,1,4
918,Q10,uniform,0.4,1,4
919,Q10,uniform,0.1,1,4
920,Q10,uniform,0.2,1,4
921,Q10,uniform,0.5,1,4
922,Q10,uniform,0.49,1,4
923,Q10,uniform,0.3,1,4
924,Q10,uniform,0.45,1,4
925,Q10,uniform,0.0,1,4
926,Q10,uniform,0.1,1,4
