Q6_q0_pa_,Q6_q1_pb_,Q6_q01_pab_,Q8_q2_pa_,Q8_q3_pb_,Q8_q23_pab_,Q12_q0_pa_,Q12_q3_pb_,Q12_q03_pab_,Q16_q1_pa_,Q16_q2_pb_,Q16_q12_pab_,Q10_q0_pa_,Q10_q2_pb_,Q10_q02_pab_,Q18_q1_pa_,Q18_q3_pb_,Q18_q13_pab_,Q14,Q3,Q4,Q5,survey_code,Q12_order,Q16_order,Q10_order,Q18_order,q3
0.03,0.11,0.23,0.33,0.06,0.34,0.2,0.04,0.12,0.03,0.32,0.1,0.15,0.13,0.14,0.19,0.06,0.23,1.0,2,26,2,70590828,3,2,4,1,Q18
0.0,1.0,0.3,0.0,0.05,0.7,0.2,0.5,0.5,0.9,0.6,0.75,0.1,0.2,0.2,0.8,0.1,0.3,1.0,2,29,4,77981451,4,2,1,3,Q10
0.25,0.8,0.5,0.25,0.2,0.65,0.05,0.75,0.75,0.95,0.65,0.75,0.0,0.85,1.0,0.85,0.15,0.85,1.0,1,33,4,67016803,3,1,4,2,Q16
0.4,1.0,0.2,0.8,0.1,0.7,0.2,0.7,0.7,0.4,0.15,0.15,0.1,0.9,0.2,0.5,0.1,0.2,1.0,2,41,5,50289972,4,3,2,1,Q18
0.25,0.2,0.05,0.1,0.05,0.15,0.1,0.4,0.4,0.15,0.15,0.05,0.15,0.3,0.2,0.15,0.15,0.05,1.0,2,36,5,53846526,1,4,2,3,Q12
0.5,0.85,0.65,0.35,0.2,0.55,0.6,0.8,0.8,0.85,0.75,0.7,0.8,0.85,0.75,0.4,0.6,0.65,1.0,2,31,6,39486122,4,3,2,1,Q18
0.34,0.95,0.5,0.6,0.3,0.9,0.2,0.2,0.5,1.0,0.5,0.5,0.3,0.3,0.45,0.1,0.1,0.15,1.0,2,25,5,13949287,3,4,2,1,Q18
0.4,0.7,0.3,0.5,0.2,0.6,0.5,0.7,0.6,0.6,0.5,0.4,0.4,0.5,0.3,0.5,0.5,0.7,1.0,2,28,6,95405939,3,2,1,4,Q10
0.5,1.0,0.75,0.4,0.2,0.5,0.5,0.75,0.75,0.5,0.2,0.2,0.6,0.6,0.1,0.5,0.1,0.5,1.0,1,37,6,40307994,4,3,1,2,Q10
0.5,0.75,0.5,0.75,0.4,0.75,0.4,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.5,0.5,0.5,0.2,1.0,2,35,5,80508808,2,4,1,3,Q10
